r,g,b,color
165,130,0,brown
176,0,127,pink
100,24,0,brown
0,52,149,blue
232,253,0,yellow
248,0,10,red
109,0,147,purple
0,30,230,blue
161,219,0,green
223,0,65,red
180,247,0,yellow
10,0,99,blue
188,130,0,orange
0,92,72,green
217,0,94,pink
16,0,209,blue
216,0,234,pink
161,110,0,brown
209,153,0,orange
58,193,0,green
33,192,0,green
0,227,142,green
251,14,0,red
23,203,0,green
58,169,0,green
0,177,105,green
221,0,233,pink
0,165,113,green
210,0,123,pink
0,88,221,blue
116,80,0,brown
118,0,147,purple
251,0,77,pink
134,159,0,green
149,80,0,brown
160,0,131,purple
252,0,239,pink
0,97,187,blue
228,0,23,red
0,253,1,green
46,0,96,purple
106,0,161,purple
0,21,92,blue
205,4,0,red
22,82,0,green
0,81,127,blue
15,0,178,blue
0,166,92,green
162,0,17,red
0,161,254,blue
57,0,74,purple
181,125,0,orange
196,0,168,pink
0,187,105,green
0,253,114,green
127,0,136,purple
71,48,0,brown
0,230,25,green
132,102,0,brown
0,88,132,blue
129,99,0,brown
55,214,0,green
39,225,0,green
0,239,76,green
0,13,124,blue
0,6,203,blue
0,7,107,blue
0,27,231,blue
208,33,0,red
0,0,139,blue
212,61,0,orange
33,0,46,purple
145,0,56,red
221,0,6,red
0,105,202,blue
122,4,0,red
66,14,0,brown
151,0,145,purple
227,0,93,pink
0,128,9,green
47,57,0,green
0,70,135,blue
154,0,183,purple
227,0,56,red
30,0,234,blue
96,227,0,green
217,0,219,pink
88,0,187,purple
111,0,141,purple
0,30,182,blue
129,142,0,green
38,0,116,blue
72,115,0,green
59,148,0,green
47,0,214,blue
116,145,0,green
160,227,0,green
72,89,0,green
42,0,217,blue
226,0,152,pink
90,0,209,purple
51,251,0,green
240,247,0,yellow
235,240,0,yellow
184,41,0,red
199,90,0,orange
0,108,34,green
96,192,0,green
138,0,97,purple
34,0,4,brown
0,66,135,blue
0,91,11,green
198,85,0,orange
20,184,0,green
98,0,132,purple
0,29,197,blue
31,0,75,purple
0,126,161,blue
0,90,110,blue
0,235,34,green
184,0,9,red
119,92,0,brown
252,234,0,yellow
163,98,0,brown
0,201,42,green
131,0,2,red
173,0,78,pink
56,188,0,green
69,231,0,green
0,40,143,blue
177,200,0,yellow
99,0,174,purple
145,0,52,red
0,101,234,blue
52,250,0,green
0,124,48,green
132,166,0,green
28,184,0,green
90,61,0,brown
0,101,196,blue
10,0,155,blue
114,0,241,purple
63,24,0,brown
243,122,0,orange
